epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
35,2946.55,1.13418,0.77343,1.24679,0.95679,0.85639,0.89708,0.60395,1.2427,0.70824,1.18042,0.000947999,0.000947999,0.000947999
36,3024.19,1.13218,0.79802,1.21722,0.95423,0.87105,0.91521,0.58932,1.33003,0.69598,1.18812,0.000933851,0.000933851,0.000933851
37,3107.73,1.14229,0.82175,1.24066,0.98484,0.844,0.91905,0.60921,1.30884,0.6634,1.19177,0.000919704,0.000919704,0.000919704
38,3186.55,1.15314,0.80702,1.24826,0.95503,0.86098,0.90824,0.655,1.08681,0.65049,1.10962,0.000905557,0.000905557,0.000905557
39,3264.55,1.10781,0.74269,1.22552,0.97025,0.87352,0.91602,0.63111,1.2047,0.65419,1.15298,0.00089141,0.00089141,0.00089141
40,3348.54,1.17378,0.80689,1.24391,0.95268,0.81815,0.91123,0.65325,1.1151,0.65254,1.11777,0.000877263,0.000877263,0.000877263
41,3429.41,1.14381,0.77782,1.22904,0.98252,0.849,0.93089,0.59788,1.32462,0.64857,1.19551,0.000863116,0.000863116,0.000863116
42,3507.69,1.13548,0.78074,1.23194,0.9211,0.85805,0.91115,0.61558,1.23055,0.70437,1.1604,0.000848969,0.000848969,0.000848969
43,3589.95,1.11318,0.74722,1.21623,0.95618,0.87221,0.92847,0.69093,1.05901,0.58609,1.08629,0.000834822,0.000834822,0.000834822
44,3673.91,1.09769,0.73728,1.19875,0.95604,0.90726,0.93238,0.63054,1.27897,0.63284,1.17528,0.000820675,0.000820675,0.000820675
45,3749.58,1.12251,0.77083,1.22438,0.96221,0.87959,0.92518,0.64787,1.14084,0.61963,1.11115,0.000806528,0.000806528,0.000806528
46,3824.55,1.08118,0.73332,1.18114,0.97148,0.85995,0.92869,0.61617,1.32126,0.63797,1.17676,0.00079238,0.00079238,0.00079238
47,3897.54,1.08661,0.75139,1.20317,0.95098,0.87391,0.92019,0.68518,0.98076,0.59697,1.06794,0.000778233,0.000778233,0.000778233
48,3972.16,1.08507,0.71851,1.19863,0.93771,0.88089,0.92873,0.64503,1.17992,0.6306,1.12774,0.000764086,0.000764086,0.000764086
49,4051.11,1.11744,0.75623,1.20825,0.96383,0.86316,0.91794,0.6485,1.15128,0.66043,1.11217,0.000749939,0.000749939,0.000749939
50,4131.59,1.08726,0.72123,1.20526,0.96415,0.8733,0.93073,0.65752,1.12555,0.62832,1.09382,0.000735792,0.000735792,0.000735792
51,4212.26,1.09728,0.74698,1.21823,0.98191,0.85419,0.92219,0.62162,1.26264,0.65214,1.15411,0.000721645,0.000721645,0.000721645
