epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,9721.84,1.04895,0.72078,1.31716,0.9886,0.89058,0.94512,0.63307,1.28276,0.58401,1.31357,0.00043568,0.00043568,0.00043568
71,9857.1,1.03994,0.70213,1.32361,0.9545,0.91855,0.94617,0.64228,1.25625,0.5716,1.31137,0.0004304,0.0004304,0.0004304
72,9993.49,1.04405,0.704,1.33544,0.95015,0.91849,0.95378,0.65338,1.27512,0.54693,1.31877,0.00042512,0.00042512,0.00042512
73,10130.3,1.01796,0.68601,1.29527,0.95751,0.91665,0.95217,0.67303,1.19132,0.54771,1.279,0.00041984,0.00041984,0.00041984
74,10266.2,1.05644,0.68541,1.31929,0.98501,0.90631,0.94934,0.61501,1.35294,0.58295,1.35454,0.00041456,0.00041456,0.00041456
75,10406.8,1.04863,0.69652,1.31436,0.96632,0.91482,0.94418,0.63278,1.31428,0.57083,1.34294,0.00040928,0.00040928,0.00040928
76,10544.5,1.02653,0.68515,1.3036,0.98806,0.91432,0.95682,0.66302,1.24501,0.56109,1.28341,0.000404,0.000404,0.000404
77,10680.4,1.02359,0.66702,1.30216,0.96933,0.91465,0.94611,0.62299,1.34356,0.58669,1.37387,0.00039872,0.00039872,0.00039872
78,10817.1,1.01959,0.69637,1.30912,0.95272,0.89557,0.95112,0.62737,1.33783,0.58112,1.36586,0.00039344,0.00039344,0.00039344
79,10952.7,1.00158,0.64838,1.31615,0.9581,0.91013,0.94642,0.63191,1.26659,0.57202,1.29055,0.00038816,0.00038816,0.00038816
80,11088.6,0.99368,0.64413,1.27838,0.97522,0.89239,0.94537,0.63933,1.2467,0.57142,1.30204,0.00038288,0.00038288,0.00038288
81,11224.4,0.98891,0.66546,1.29467,0.98014,0.90149,0.95022,0.69877,1.07034,0.52901,1.19779,0.0003776,0.0003776,0.0003776
82,11360.2,1.00603,0.67252,1.30402,0.9693,0.90403,0.94786,0.64614,1.26368,0.56453,1.27969,0.00037232,0.00037232,0.00037232
